Location,Credit Score,Age,,Direct Farm Ownership ,Direct Down Payment ,Direct Farm Ownership Participation ,Land Contract Guarantee ,Direct Emergency 
1,805,30,,1,1,1,1,1
1,855,39,,1,1,1,1,1
1,823,49,,1,1,1,0,1
1,876,55,,1,1,1,0,0
1,723,30,,0,1,1,1,1
1,749,39,,0,1,1,1,1
1,789,49,,0,1,1,0,1
1,754,55,,0,1,1,0,0
1,653,30,,0,1,1,1,0
1,632,39,,0,1,1,1,0
1,614,49,,0,1,1,0,0
1,678,55,,0,1,1,0,0
1,545,30,,0,1,1,1,0
1,576,39,,0,1,1,1,0
1,531,49,,0,1,0,0,0
1,501,55,,0,1,0,0,0
1,456,30,,0,0,0,0,0
1,421,39,,0,0,0,0,0
1,376,49,,0,0,0,0,0
1,345,55,,0,0,0,0,0
1,276,30,,0,0,0,0,0
1,231,39,,0,0,0,0,0
1,191,49,,0,0,0,0,0
1,156,55,,0,0,0,0,0
1,112,30,,0,0,0,0,0
1,87,39,,0,0,0,0,0
1,54,49,,0,0,0,0,0
1,32,55,,0,0,0,0,0
1,12,24,,0,0,0,0,0
1,0,29,,0,0,0,0,0
2,805,30,,1,1,1,1,1
2,855,39,,1,1,1,1,1
2,823,49,,1,1,1,0,1
2,876,55,,1,1,1,0,0
2,723,30,,1,1,1,1,1
2,749,39,,1,1,1,1,1
2,789,49,,1,1,1,0,1
2,754,55,,1,1,1,0,0
2,653,30,,0,1,1,1,0
2,632,39,,0,1,1,1,0
2,614,49,,0,1,1,0,0
2,678,55,,0,1,1,0,0
2,545,30,,0,1,1,1,0
2,576,39,,0,1,1,1,0
2,531,49,,0,1,0,0,0
2,501,55,,0,1,0,0,0
2,456,30,,0,0,0,0,0
2,421,39,,0,0,0,0,0
2,376,49,,0,0,0,0,0
2,345,55,,0,0,0,0,0
2,276,30,,0,0,0,0,0
2,231,39,,0,0,0,0,0
2,191,49,,0,0,0,0,0
2,156,55,,0,0,0,0,0
2,112,30,,0,0,0,0,0
2,87,39,,0,0,0,0,0
2,54,49,,0,0,0,0,0
2,32,55,,0,0,0,0,0
2,12,24,,0,0,0,0,0
2,0,29,,0,0,0,0,0
3,805,30,,1,1,1,1,1
3,855,39,,1,1,1,1,1
3,823,49,,0,0,0,0,0
3,876,55,,0,0,0,0,0
3,723,30,,1,1,1,1,1
3,749,39,,1,1,1,1,1
3,789,49,,0,0,0,0,0
3,754,55,,0,0,0,0,0
3,653,30,,0,1,1,1,0
3,632,39,,0,1,1,1,0
3,614,49,,0,0,0,0,0
3,678,55,,0,0,0,0,0
3,545,30,,0,1,1,1,0
3,576,39,,0,1,1,1,0
3,531,49,,0,0,0,0,0
3,501,55,,0,0,0,0,0
3,456,30,,0,0,0,0,0
3,421,39,,0,0,0,0,0
3,376,49,,0,0,0,0,0
3,345,55,,0,0,0,0,0
3,276,30,,0,0,0,0,0
3,231,39,,0,0,0,0,0
3,191,49,,0,0,0,0,0
3,156,55,,0,0,0,0,0
3,112,30,,0,0,0,0,0
3,87,39,,0,0,0,0,0
3,54,49,,0,0,0,0,0
3,32,55,,0,0,0,0,0
3,12,24,,0,0,0,0,0
3,0,29,,0,0,0,0,0
4,805,30,,1,1,1,1,1
4,855,39,,1,1,1,1,1
4,823,49,,1,1,1,1,1
4,876,55,,1,1,1,1,1
4,723,30,,1,1,1,1,1
4,749,39,,1,1,1,1,1
4,789,49,,1,1,1,1,1
4,754,55,,1,1,1,1,1
4,653,30,,0,1,1,1,0
4,632,39,,0,1,1,1,0
4,614,49,,0,0,0,0,0
4,678,55,,0,0,0,0,0
4,545,30,,0,1,1,1,0
4,576,39,,0,1,1,1,0
4,531,49,,0,0,0,0,0
4,501,55,,0,0,0,0,0
4,456,30,,0,0,0,0,0
4,421,39,,0,0,0,0,0
4,376,49,,0,0,0,0,0
4,345,55,,0,0,0,0,0
4,276,30,,0,0,0,0,0
4,231,39,,0,0,0,0,0
4,191,49,,0,0,0,0,0
4,156,55,,0,0,0,0,0
4,112,30,,0,0,0,0,0
4,87,39,,0,0,0,0,0
4,54,49,,0,0,0,0,0
4,32,55,,0,0,0,0,0
4,12,24,,0,0,0,0,0
4,0,29,,0,0,0,0,0
5,805,30,,1,1,1,1,1
5,855,39,,1,1,1,1,1
5,823,49,,1,1,1,1,1
5,876,55,,1,1,1,1,1
5,723,30,,0,0,0,0,0
5,749,39,,0,0,0,0,0
5,789,49,,0,0,0,0,0
5,754,55,,0,0,0,0,0
5,653,30,,0,0,0,0,0
5,632,39,,0,0,0,0,0
5,614,49,,0,0,0,0,0
5,678,55,,0,0,0,0,0
5,545,30,,0,0,0,0,0
5,576,39,,0,0,0,0,0
5,531,49,,0,0,0,0,0
5,501,55,,0,0,0,0,0
5,456,30,,0,0,0,0,0
5,421,39,,0,0,0,0,0
5,376,49,,0,0,0,0,0
5,345,55,,0,0,0,0,0
5,276,30,,0,0,0,0,0
5,231,39,,0,0,0,0,0
5,191,49,,0,0,0,0,0
5,156,55,,0,0,0,0,0
5,112,30,,0,0,0,0,0
5,87,39,,0,0,0,0,0
5,54,49,,0,0,0,0,0
5,32,55,,0,0,0,0,0
5,12,24,,0,0,0,0,0
5,0,29,,0,0,0,0,0
